clip_file_path,file_name,duration_sec,fps,width,height,frames,size_bytes
E:\BasketballShotAI\clips\bilibili\BILI_001_A_BV14u411J7qS.mp4,BILI_001_A_BV14u411J7qS.mp4,4.0,30.0,356,640,120,566768
E:\BasketballShotAI\clips\bilibili\BILI_001_B_BV14u411J7qS.mp4,BILI_001_B_BV14u411J7qS.mp4,1.0,30.0,356,640,30,120233
E:\BasketballShotAI\clips\bilibili\BILI_001_C_BV14u411J7qS.mp4,BILI_001_C_BV14u411J7qS.mp4,2.0,30.0,356,640,60,342834
E:\BasketballShotAI\clips\bilibili\BILI_002_A_BV16u411e7Bn.mp4,BILI_002_A_BV16u411e7Bn.mp4,4.0,30.0,640,360,120,372655
E:\BasketballShotAI\clips\bilibili\BILI_003_A_BV1d84y1G7zq.mp4,BILI_003_A_BV1d84y1G7zq.mp4,19.567,30.0,360,640,587,920865
E:\BasketballShotAI\clips\bilibili\BILI_004_A_BV1og4y1o7Ni.mp4,BILI_004_A_BV1og4y1o7Ni.mp4,7.621,29.0,360,640,221,421522
E:\BasketballShotAI\clips\bilibili\BILI_005_A_BV1Re4y1K7Ey.mp4,BILI_005_A_BV1Re4y1K7Ey.mp4,15.0,25.0,480,852,375,842084
E:\BasketballShotAI\clips\bilibili\BILI_006_A_BV1mP411q7je.mp4,BILI_006_A_BV1mP411q7je.mp4,6.0,30.0,480,852,180,384575
E:\BasketballShotAI\clips\bilibili\BILI_006_B_BV1mP411q7je.mp4,BILI_006_B_BV1mP411q7je.mp4,4.0,30.0,480,852,120,229329
E:\BasketballShotAI\clips\bilibili\BILI_006_C_BV1mP411q7je.mp4,BILI_006_C_BV1mP411q7je.mp4,5.933,30.0,480,852,178,366960
E:\BasketballShotAI\clips\bilibili\BILI_008_A_BV1co4y1J7Zs.mp4,BILI_008_A_BV1co4y1J7Zs.mp4,8.567,30.0,480,852,257,1059864
E:\BasketballShotAI\clips\bilibili\BILI_010_A_BV1hK6WYtEDP.mp4,BILI_010_A_BV1hK6WYtEDP.mp4,3.003,29.97,852,480,90,389160
E:\BasketballShotAI\clips\bilibili\BILI_010_B_BV1hK6WYtEDP.mp4,BILI_010_B_BV1hK6WYtEDP.mp4,3.003,29.97,852,480,90,493929
E:\BasketballShotAI\clips\bilibili\BILI_010_C_BV1hK6WYtEDP.mp4,BILI_010_C_BV1hK6WYtEDP.mp4,2.002,29.97,852,480,60,637650
E:\BasketballShotAI\clips\bilibili\BILI_010_D_BV1hK6WYtEDP.mp4,BILI_010_D_BV1hK6WYtEDP.mp4,4.004,29.97,852,480,120,1671931
